prod_id,prod_name,prod_stock,prod_image,prod_saleprice,prod_price,prod_sku,prod_cat
45846,Seed  -  Dwarf Bean Snapbean,instock,Dwarf_Bean_Snapbean-01-160x160.jpg,$3.43,$4.90,SEEDBESNA,"product_cat-new-year-specials,product_cat-vegetable-seeds"
174249,Seed  -  Dwarf Bean Brown Beauty,instock,Bean-Brown-Beauty-160x160.jpg,$2.73,$3.90,SEEDBEBBE,"product_cat-new-year-specials,product_cat-vegetable-seeds"
174260,Seed  -  Eggplant Black Beauty 150 Pk,instock,Eggplant-Black-Beauty-160x160.jpg,$2.07,$2.95,SEEEGGBBE,"product_cat-new-year-specials,product_cat-vegetable-seeds"
175631,Seed  -  Broad Bean Coles Early Dwarf,instock,broad-bean-coles-early-dwarf_60g-pk-16-160x160.jpg,$3.43,$4.90,SEEBBCED,"product_cat-new-year-specials,product_cat-vegetable-seeds"
175665,Seed  -  Dill,instock,dill_750pk-16-160x160.jpg,$3.26,$4.65,SEEDILL00,"product_cat-new-year-specials,product_cat-herb-seeds"
234407,Microgreens Flavours Of Western Europe,instock,Microgreens-Western-Europe-160x160.jpg,$3.43,$4.90,ACCSEEMWE,"product_cat-new-year-specials,product_cat-sprouts-microgreens"
275703,Heuchera Forever Purple,instock,Heuchera_Forever_Purple_LPOHEUFPE-160x160.jpg,$3.95,$7.90,LPOHEUFPE,"product_cat-new-year-specials,product_cat-page-26-heuchera,product_cat-page-34-heuchera,product_cat-heucheras-and-tiarellas"
309066,Bacopa Great Classic Pink,instock,bacopa-classic-pink-pplbacgpi-160x160.jpg,$2.95,$5.90,PPLBACGPI,"product_cat-new-year-specials,product_cat-page-24-25-groundcovers,product_cat-ground-cover-plants"
42677,Ph Test Kit Manutec 01,instock,pH_Test_Kit_Manutec-01-160x160.jpg,$15.40,$22.00,ACCPHTEST,"product_cat-new-year-specials,product_cat-fertilisers-soil-conditioners"
42721,Smartburn,instock,noi,$32.20,$46.00,ACCSMARTB,"product_cat-accessory-specials,product_cat-new-year-specials,product_cat-page-32-33-hard-goods,product_cat-page-60-61-hardgoods,product_cat-home-accessories"
44990,Evergreen Giant,instock,Evergreen-Giant-160x160.jpg,$2.45,$4.90,LPOLIREGI,"product_cat-new-year-specials,product_cat-page-31-grasses,product_cat-page-43-45-shade-lovers,product_cat-page-44-45-hedges-borders-inspired-by-buxus,product_cat-page-58-59-grasses-borders-hedges,product_cat-liriope"
45850,Seed  -  Gypsophila Bright Rose,instock,seed-gypsophila-bright-rose-2019-seegypbro-160x160.jpg,$3.26,$4.65,SEEGYPBRO,"product_cat-new-year-specials,product_cat-flower-seeds"
45851,Seed  -  Gypsophila Monarch White,instock,seed-gypsophila-monarch-white-2019-seegypmwh-160x160.jpg,$2.07,$2.95,SEEGYPMWH,"product_cat-new-year-specials,product_cat-flower-seeds"
48226,Agapanthus Silver Baby,instock,Agapanthus_Silver_Baby_141-160x160.jpg,$3.95,$7.90,LPOAGASBA,"product_cat-page-09-agapanthus,product_cat-page-56-agapanthus,product_cat-plant-specials,product_cat-agapanthus"
175566,Seed  -  Cauliflower Quickheart,instock,cauliflower-quicheart-250-pk-16-160x160.jpg,$2.73,$3.90,SEECAUQUI,"product_cat-new-year-specials,product_cat-vegetable-seeds"
175687,Seed  -  Lemon Grass,instock,lemongrass16-160x160.jpg,$3.26,$4.65,SEELEMGRA,"product_cat-new-year-specials,product_cat-herb-seeds"
175772,Seed  -  Pea Telephone,instock,pea-telephone_16-160x160.jpg,$2.73,$3.90,SEEPEATEL,"product_cat-new-year-specials,product_cat-vegetable-seeds"
178488,Seed  -  Tomato Tommy Toe 50 Pk,instock,Tomato-Tommy-Toe-SEETOMTOT-160x160.jpg,$3.43,$4.90,SEETOMTOT,"product_cat-new-year-specials,product_cat-vegetable-seeds"
247529,Miscanthus Sinensis,instock,Miscanthus-sinensis-LPOMISSIN-17-160x160.jpg,$2.95,$5.90,LPOMISSIN,"product_cat-new-year-specials,product_cat-page-31-grasses,product_cat-grass-strap-leaf-plants"
298154,Manutec Orchid Bloom Booster,instock,manutec-orchid-bloom-booster-160x160.jpg,$7.63,$10.90,ACCMANOBB,"product_cat-new-year-specials,product_cat-page-43-45-hard-goods,product_cat-fertilisers-soil-conditioners"
308848,Calibrachoa Calipetite White,instock,calibrachoa-calipetite-white-lpocalcwt-160x160.jpg,$2.70,$5.40,LPOCALCWT,"product_cat-page-13-calibrachoa,product_cat-calibrachoa"
308955,Pom Pom Gerbera Kermit,instock,gerbera-pomponi-kermit-pplgerpke-160x160.jpg,$4.95,$9.90,PPLGERPKE,"product_cat-new-year-specials,product_cat-page-19-pom-pom-gerberas,product_cat-gerberas,product_cat-whats-new"
308999,Echinacea Sombrero Lemon,instock,echinacea-sombrero-lemon-yellow-pplechsye-160x160.jpg,$4.25,$8.50,PPLECHSLE,"product_cat-new-year-specials,product_cat-page-22-23-garden-colour,product_cat-whats-new,product_cat-flowering-shrubs"
311025,Osteospermum Akila Purple,instock,osteospermum-akila-purple-pplostapu-160x160.jpg,$2.95,$5.90,PPLOSTAPU,"product_cat-exclusively-online,product_cat-new-year-specials,product_cat-whats-new,product_cat-ground-cover-plants"
42456,"Felco 2/91  -  Replacement Springs For Felco 2, 4, 7, 8, 9 &10",instock,felco-2-91-160x160.jpg,$8.26,$11.80,ACCFEL2/91,"product_cat-new-year-specials,product_cat-felco-spare-parts-accessories"
42470,Felco 4  -  Pruner Popular,instock,Felco_4_rotated_2012-160x160.jpg,$63.70,$91.00,ACCFEL4,"product_cat-new-year-specials,product_cat-felco-pruners"
42472,Felco 6  -  Pruner Ladies/Small Hand,instock,FELCO_6-01-160x160.jpg,$72.10,$103.00,ACCFEL6,"product_cat-new-year-specials,product_cat-felco-pruners"
45864,Parsley Moss Curled 01,instock,Parsley_Moss_Curled-01-160x160.jpg,$2.07,$2.95,SEEPARMCU,"product_cat-new-year-specials,product_cat-herb-seeds"
45872,Seed  -  Rocket Cultivated Organic,instock,seed-rocket-cultivated-organic-2019-seeroccuo-160x160.jpg,$3.43,$4.90,SEEROCCUO,"product_cat-new-year-specials,product_cat-salad-vegetable-seeds"
45878,Seed  -  Spring Onion Ishikura,instock,seed-spring-onion-ishikura-2019-seesonbis-160x160.jpg,$3.43,$4.90,SEESONBIS,"product_cat-new-year-specials,product_cat-vegetable-seeds"
48140,Ceanothus Pacific Blue,instock,Ceanothus-Pacific-Blue-LPOCEAPBL-160x160.jpg,$2.95,$5.90,LPOCEAPBL,"product_cat-new-year-specials,product_cat-page-58-60-garden-colour,product_cat-larger-hedges"
48699,Aloe Gemini (Pbr),instock,Aloe_Gemini_121-160x160.jpg,$11.83,$16.90,PLAALOGEM,"product_cat-new-year-specials,product_cat-aloes"
48744,Aloe Winter Bells (Pbr) (Tm),instock,Aloe_Winter_Bells13A1-160x160.jpg,$11.83,$16.90,PLAALOWBE,"product_cat-new-year-specials,product_cat-aloes"
135065,Gazania Big Kiss Yellow Flame,instock,Gazania_Big_Kiss_Yellow_Flame_2013-160x160.jpg,$2.70,$5.40,LPOGAZBKY,"product_cat-new-year-specials,product_cat-page-32-35-flowering-shrubs,product_cat-plant-specials,product_cat-daisies"
174289,Seed  -  Brussel Sprouts Eversham,instock,Brussel-Sprouts-160x160.jpg,$3.26,$4.65,SEEBSPEVE,"product_cat-new-year-specials,product_cat-vegetable-seeds"
223856,Felco Springs Pruner 6-12,instock,felco-6-91-ACCFEL6-91-160x160.jpg,$8.26,$11.80,ACCFEL6/91,"product_cat-new-year-specials,product_cat-felco-spare-parts-accessories"
234399,Microgreens Flavours Of The Mediterranean,instock,Microgreens-Mediterranean-160x160.jpg,$3.43,$4.90,ACCSEEMME,"product_cat-new-year-specials,product_cat-sprouts-microgreens"
255840,Gazania Big Kiss White,instock,Gazania-Big-Kiss-White-LPOGAZKWH-160x160.jpg,$2.70,$5.40,LPOGAZKWH,"product_cat-new-year-specials,product_cat-page-32-35-flowering-shrubs,product_cat-plant-specials,product_cat-daisies"
289161,Gladioli Collection Bhglacol,instock,GLADIOLI_COLLECTION_BHGLACOL-160x160.jpg,$43.20,$54.00,BHGLACOL,product_cat-better-homes-gardens
42453,Felco 2  -  Classic Professional Pruner,instock,Felco_2_rotated_2012-160x160.jpg,$77.70,$111.00,ACCFEL2,"product_cat-new-year-specials,product_cat-felco-pruners"
42474,Felco 600  -  Folding Pruning Saw,instock,FELCO_600-01-160x160.jpg,$40.88,$58.40,ACCFEL600,"product_cat-new-year-specials,product_cat-felco-shears-saws"
42488,Felco 910  -  Leather Holster Pouch,instock,Felco_910_leatherholster_rotated_2012-160x160.jpg,$29.40,$42.00,ACCFEL910,"product_cat-new-year-specials,product_cat-felco-spare-parts-accessories"
42566,Greenwell Large  -  Heritage Green,instock,Greenwell_Large_Heritage_Green_14-160x160.jpg,$19.60,$28.00,ACCGREPSLG,"product_cat-new-year-specials,product_cat-page-32-33-hard-goods,product_cat-page-42-watering,product_cat-page-49-50-hardgoods,product_cat-page-60-61-hardgoods,product_cat-page-60-61-tools-and-accessories,product_cat-plant-protection"
42696,Propagating Thermometer,instock,Thermometer2-01-160x160.jpg,$5.56,$7.95,ACCPROTHE,"product_cat-new-year-specials,product_cat-seed-raising-and-propagation"
45857,Seed  -  Marigold Crackerjack African,instock,seed-marigold-crackerjack-african-seemarcra-160x160.jpg,$2.07,$2.95,SEEMARCRA,"product_cat-new-year-specials,product_cat-flower-seeds"
48596,Aloe Spots N Dots Tm,instock,Aloe-Spots-N-Dots-Menno-Holwerda-PLAALOSAD-160x160.jpg,$11.83,$16.90,PLAALOSAD,"product_cat-new-year-specials,product_cat-page-14-15-aloe,product_cat-aloes"
51187,Pittosporum Golf Ball (Pbr),instock,Pitto_Golf_Ball_Hedge-160x160.jpg,$3.25,$6.50,LPOPITGBA,"product_cat-new-year-specials,product_cat-page-36-39-hedges-and-screens,product_cat-page-44-45-hedges-borders-inspired-by-buxus,product_cat-hedge-plants"
66446,Grevillea Bonnie Prince Charlie,instock,Grevillea_Bonnie_Prince_2013-160x160.jpg,$3.20,$6.40,LPOGREBPC,"product_cat-new-year-specials,product_cat-page-28-30-natives,product_cat-grevillea-callistemon"
174272,Seed  -  Spring Onion White Lisbon,instock,Spring-Onion-White-160x160.jpg,$2.73,$3.90,SEESONWLI,"product_cat-new-year-specials,product_cat-vegetable-seeds"
207555,Lycoris Gold,instock,lycoris-gold-2013-160x160.jpg,$3.90,$6.50,PKLYCGOL,"product_cat-page-04-07-autumn-flowering-bulbs-summer-2018,product_cat-page-16-17-autumn-flowering,product_cat-lycoris"
256963,Felco 2/3  -  Replacement Blade For Felco 2-4-11-400,instock,felco-2-3-160x160.jpg,$22.54,$32.20,ACCFEL2/3,"product_cat-new-year-specials,product_cat-felco"
281793,Felco 7/3  -  Replacement Blade For Felco 7,instock,Felco-7-Replacement-Blade-ACCFEL7-3-160x160.jpg,$22.54,$32.20,ACCFEL7/3,"product_cat-new-year-specials,product_cat-felco"
286014,Agapanthus Tinkerbell 15 Fm 14279838Pa,instock,Agapanthus_Tinkerbell__15_FM_14279838PA-160x160.jpg,$3.95,$7.90,PPLAGATIN,"product_cat-exclusively-online,product_cat-new-year-specials,product_cat-page-33-agapanthus,product_cat-agapanthus"
308746,Princess Lily Fabiana Pplplifab,instock,princess-lily-fabiana-pplplifab-160x160.jpg,$6.40,$12.80,PPLPLIFAB,"product_cat-new-year-specials,product_cat-page-12-princess-lilies,product_cat-alstroemeria"
308852,Calibrachoa Calipetite Blue,instock,calibrachoa-calipetite-blue-lpocalcbl-160x160.jpg,$2.70,$5.40,LPOCALCBL,"product_cat-new-year-specials,product_cat-page-13-calibrachoa,product_cat-calibrachoa"
308956,Pom Pom Gerbera Fantastic,instock,gerbera-pom-pom-fantastic-pplgerpfa-160x160.jpg,$4.95,$9.90,PPLGERPFA,"product_cat-new-year-specials,product_cat-page-19-pom-pom-gerberas,product_cat-gerberas,product_cat-whats-new"
42455,Felco 2/90  -  Central Bolt Kit For Felco 2,instock,Felco2_90-160x160.jpg,$16.52,$23.60,ACCFEL2/90,"product_cat-new-year-specials,product_cat-felco-spare-parts-accessories"
42576,Hamilton Tree Planter (Hiko Round 50X50X125),instock,Hamilton_Planter_14-160x160.jpg,$77.00,$110.00,ACCHAMTRR,"product_cat-new-year-specials,product_cat-garden-accessories"
42599,Lawn Aerator Sandals,instock,Lawn_Airator_Sandles-01-160x160.jpg,$20.65,$29.50,ACCLASAND,"product_cat-new-year-specials,product_cat-fertilisers-soil-conditioners"
42707,Rose Ring  -  Standard Rose Support,instock,Rose_Ring-01-160x160.jpg,$49.00,$70.00,ACCROSRIN,"product_cat-accessory-specials,product_cat-new-year-specials,product_cat-page-32-33-hard-goods,product_cat-page-43-45-hard-goods,product_cat-arches-obelisks-supports"
45054,Photinia Red Robin,instock,Photinia-red-Robin-16-160x160.jpg,$2.95,$5.90,LPOPHORRO,"product_cat-new-year-specials,product_cat-page-44-45-hedges-borders-inspired-by-buxus,product_cat-page-54-56-hedges-borders,product_cat-page-61-hedges,product_cat-larger-hedges"
